id,kind,category,name,harness,canonical_path,line_count,asset_count,assets,description
plugin:agent-skills,plugin,,agent-skills,agent-skills,.claude-plugin/plugin.json,13,0,,Production-grade engineering skills for AI coding agents — covering the full software development lifecycle from spec to ship.
plugin:diagram-design,plugin,,diagram-design,diagram-design,.claude-plugin/plugin.json,25,0,,"Create branded architecture, IT current-state, flowchart, sequence, state machine, ER/data model, timeline, swimlane, quadrant, radar/spider, loop/flywheel, nested, tree, org chart, layer stack, Venn, pyramid/funnel, treemap, bar, line, Gantt and scatter charts, high-level, process, medallion, data flow, DP integration, DP security matrix, sankey, fishbone, Wardley map, kanban, user journey, deployment, dependency graph, UML class, story map, or database schema diagrams as standalone HTML/SVG/PNG. Redraw .drawio/.drawio.png/.drawio.svg or Mermaid .mmd sources at a chosen size/detail; onboard brand tokens from a website; add semantic patterns, callouts, accessible motion, or sketchy/hand-drawn styling."
plugin:plugins/build-iterated-agentic-loop/build-iterated-agentic-loop,plugin,build-iterated-agentic-loop,build-iterated-agentic-loop,humanlayer_skills,plugins/build-iterated-agentic-loop/.claude-plugin/plugin.json,12,0,,"Build a repo-local skill plus an iterated coding-agent workflow, prompt, and memory file"
plugin:plugins/design-control-loop/design-control-loop,plugin,design-control-loop,design-control-loop,humanlayer_skills,plugins/design-control-loop/.claude-plugin/plugin.json,12,0,,"Interview the user to design an agentic control loop (sensor, controller, actuator under disturbances) for their codebase, then build it as locally-runnable components plus a scheduled coding-agent workflow"
plugin:plugins/improve-claude-md/improve-claude-md,plugin,improve-claude-md,improve-claude-md,humanlayer_skills,plugins/improve-claude-md/.claude-plugin/plugin.json,12,0,,Rewrite a CLAUDE.md file using <important if> blocks to improve instruction adherence
plugin:plugins/narrow-react-prop-types/narrow-react-prop-types,plugin,narrow-react-prop-types,narrow-react-prop-types,humanlayer_skills,plugins/narrow-react-prop-types/.claude-plugin/plugin.json,12,0,,Narrow React component prop types to match live code paths
plugin:plugins/show-me/show-me,plugin,show-me,show-me,humanlayer_skills,plugins/show-me/.claude-plugin/plugin.json,12,0,,"Explain the current topic with concise diagrams, code-shape sketches, and focused HTML artifacts"
plugin:mattpocock-skills,plugin,,mattpocock-skills,mattpocock_skills,.claude-plugin/plugin.json,48,0,,"Matt Pocock's agent skills for real engineering — grilling, spec/ticket flows, TDD, code review, domain modelling and more. Plug-and-play, not vibe coding."
plugin:superpowers,plugin,,superpowers,superpowers,.claude-plugin/plugin.json,20,0,,"Core skills library for Claude Code: TDD, debugging, collaboration patterns, and proven techniques"
